Reference Contrat;N° COMPTEUR;Ancien index;Nouvel index;consommation;date de relève;periode
22308044;;461;526;65;;201811
22308004;;200;247;47;;201811
22308043;;654;855;201;;201811
22308047;;102;131;29;;201811
22308034;;396;498;102;;201811
22308040;;463;561;98;;201811
22308041;;164;289;125;;201811
22308056;;645;776;131;;201811
22308027;;503;690;187;;201811
22308045;;215;246;31;;201811
22308028;;862;1021;159;;201811
22308024;;38;44;6;;201811
22308033;;818;1140;322;;201811
22308035;;453;563;110;;201811
22308048;;526;744;218;;201811
22308052;;105;121;16;;201811
22308029;;154;172;18;;201811
22308012;;5397;5856;459;;201811
22308051;;761;946;185;;201811
22308014;;1355;2147;792;;201811
22308080;;1642;2792;1150;;201811
22308011;;195;255;60;;201811
22308076;;57;73;16;;201811
22308018;;20;32;12;;201811
22308062;;778;949;171;;201811
22308070;;4189;4487;298;;201811
22308066;;22;81;59;;201811
22308022;;410;490;80;;201811
22308061;;186;300;114;;201811
22308073;;30;52;22;;201811
22308078;;54;69;15;;201811
22308065;;227;317;90;;201811
22308031;;25;37;12;;201811
22308079;;158;288;130;;201811
22308074;;73;116;43;;201811
22308077;;22;33;11;;201811
22308081;;111;210;99;;201811
22308008;;118;205;323;;201811
22308082;;60;111;51;;201811
22308058;;181;319;380;;201811
22301057;;5617;5755;138;;201811
22308083;;94;135;41;;201811
22301058;;5534;5661;127;;201811
22301059;;6427;6578;151;;201811
22301061;;6315;6341;26;;201811
22301056;;4522;4680;158;;201811
22301072;;3491;3545;54;;201811
22301077;;4298;4395;97;;201811
22301078;;14158;14672;514;;201811
22301075;;50597;54907;4310;;201811
22301079;;2172;2219;47;;201811
22301084;;5363;5393;30;;201811
22301012;;5464;5570;106;;201811
22301003;;3467;3536;69;;201811
22301083;;3745;3873;128;;201811
22301087;;5247;5411;164;;201811
22301013;;3612;3742;130;;201811
22301008;;6622;6785;163;;201811
22301089;;19692;20152;460;;201811
22301019;;6321;6483;162;;201811
22301086;;4649;4738;89;;201811
22301081;;2049;2133;84;;201811
22301068;;4397;4512;115;;201811
22301017;;3165;3280;115;;201811
22301097;;771;799;28;;201811
22301010;;4549;4798;249;;201811
22301094;;3722;3842;120;;201811
22301119;;215;241;26;;201811
22301016;;3108;3143;35;;201811
22301096;;4390;4526;136;;201811
22301120;;308;335;27;;201811
22301143;;800;893;93;;201811
22301142;;2668;2822;154;;201811
22301121;;5362;5949;587;;201811
22301106;;330;355;25;;201811
22301177;;126;147;21;;201811
22301113;;10153;10737;584;;201811
22301175;;159;175;16;;201811
22301001;;1080;1264;184;;201811
22301178;;77;87;10;;201811
22301182;;30;45;15;;201811
22301118;;837;877;40;;201811
22302017;;298;308;10;;201811
22302023;;1104;1412;308;;201811
22117001;;958;1043;85;;201811
22102002;;1420;2023;603;;201811
22102007;;1345;1645;300;;201811
23807002;;493;613;120;;201811
22103004;;2373;2443;70;;201811
