Reference Contrat;N° COMPTEUR;Ancien index;Nouvel index;consommation;date de relève;periode
22107032;;30;48;18;;201811
23864005;;62;84;22;;201811
23864012;;372;542;170;;201811
22501006;;17329;18030;701;;201811
22501033;;5952;6213;261;;201811
22501040;;5952;6213;261;;201811
22501040;;0;71;351;;201811
22501007;;7224;7527;303;;201811
22501070;;5266;5404;138;;201811
22501008;;1957;2060;103;;201811
22501039;;7208;7450;242;;201811
22501020;;3952;4106;154;;201811
22501041;;8160;8396;236;;201811
22501004;;4138;4288;150;;201811
22501045;;2295;2391;96;;201811
22501048;;2121;2193;72;;201811
22501049;;3674;3849;175;;201811
22501046;;4200;4410;210;;201811
22501055;;2790;2914;124;;201811
22501061;;2197;2403;206;;201811
22501071;;645;666;21;;201811
22501021;;2638;2849;211;;201811
22501063;;4118;4350;232;;201811
22501069;;825;881;56;;201811
22501064;;3828;4048;220;;201811
22501068;;3427;3521;94;;201811
22501102;;149;191;42;;201811
22501076;;386;446;60;;201811
22501088;;2289;2381;92;;201811
22501103;;77;115;38;;201811
23501025;;0;346;346;;201811
23867004;;50;75;25;;201811
22701023;;0;32;32;;201811
11201022;;27;37;10;;201811
12809006;;0;44;44;;201811
11117018;;64;174;110;;201811
11117015;;90;190;100;;201811
11117053;;398;526;128;;201811
11117054;;838;1028;190;;201811
11117016;;81;97;16;;201811
11117052;;92;116;24;;201811
11117013;;50;66;16;;201811
11117011;;40;48;8;;201811
11117050;;0;459;459;;201811
12202030;;77;226;149;;201811
12202028;;427;542;115;;201811
12202032;;225;379;154;;201811
11117011;;40;48;8;;201811
11117050;;0;459;459;;201811
12202030;;77;226;149;;201811
12202028;;427;542;115;;201811
12202032;;225;379;154;;201811
12202029;;262;302;40;;201811
12202018;;3190;4425;1235;;201811
12202019;;1;115;114;;201811
12202021;;1;317;333;;201811
12202020;;2;215;226;;201811
12202022;;1;243;256;;201811
12202023;;0;225;236;;201811
12202024;;0;320;332;;201811
12202026;;0;188;188;;201811
12202031;;0;391;393;;201811
12202075;;1;252;267;;201811
12202069;;8;133;230;;201811
12202071;;51;323;390;;201811
12202004;;139;303;316;;201811
12202003;;0;107;107;;201811
12202080;;0;301;301;;201811
12202025;;0;249;249;;201811
12202072;;0;167;167;;201811
12815046;;13082;14466;1384;;201811
12202089;;0;78;78;;201811
12815047;;10934;11521;587;;201811
12815041;;1687;1814;127;;201811
12815048;;501;695;194;;201811
12815051;;0;107;107;;201811
11810010;;569;731;162;;201811
11810002;;386;437;51;;201811
11810011;;364;468;104;;201811
11810001;;0;165;165;;201811
11810003;;0;172;172;;201811
11810004;;0;15;15;;201811
11810005;;0;68;68;;201811
11810006;;0;358;358;;201811
11810007;;0;43;43;;201811
11810013;;0;161;161;;201811
11810045;;0;54;54;;201811
11810051;;0;43;43;;201811
11810014;;0;1123;1123;;201811
11810051;;526;622;96;;201811
11810063;;0;2518;2518;;201811
11810018;;0;9;9;;201811
11810019;;0;6;6;;201811
11810044;;0;8;8;;201811
11810066;;0;116;116;;201811
11810055;;0;27;27;;201811
11810058;;0;18;18;;201811
11810056;;0;185;185;;201811
12450012;;151;218;67;;201811
12450013;;106;136;30;;201811
12450084;;127;158;31;;201811
12450081;;127;172;45;;201811
12450024;;181;233;52;;201811
12450031;;765;889;124;;201811
12450009;;1217;1813;596;;201811
12450026;;243;279;36;;201811
12450087;;359;597;238;;201811
12450005;;105;203;98;;201811
12450018;;261;326;65;;201811
12450004;;150;193;43;;201811
12450023;;40;57;17;;201811
12450017;;183;244;61;;201811
12450021;;80;113;33;;201811
12450107;;71;149;78;;201811
12450119;;205;562;357;;201811
12450120;;95;108;13;;201811
12450121;;840;1009;169;;201811
124139057;;95;135;40;;201811
124139059;;38;45;7;;201811
124139054;;499;603;104;;201811
124139056;;54;73;19;;201811
11812015;;411;510;99;;201811
11220024;;909;1128;219;;201811
124139066;;0;603;603;;201811
11220026;;1058;1427;369;;201811
11220035;;5;18;13;;201811
11220036;;332;415;83;;201811
11220037;;362;530;168;;201811
11220025;;439;555;116;;201811
11220039;;7150;7925;775;;201811
12210001;;77;93;16;;201811
11119026;;63;73;10;;201811
11119025;;138;245;107;;201811
11901073;;1443;1633;190;;201811
11901052;;1002;1140;138;;201811
11901017;;557;683;126;;201811
11901042;;234;421;187;;201811
11901057;;682;855;173;;201811
11901011;;3543;3779;236;;201811
11901071;;961;1183;222;;201811
11901043;;842;961;119;;201811
11901077;;548;622;74;;201811
11901064;;57;66;9;;201811
11901033;;602;685;83;;201811
11901014;;1248;1410;162;;201811
11901012;;310;335;25;;201811
11901058;;657;777;120;;201811
11901015;;1012;1106;94;;201811
11901035;;741;953;212;;201811
11901086;;188;262;74;;201811
11901031;;1459;1582;123;;201811
11901037;;895;1053;158;;201811
11901006;;3238;3434;196;;201811
11901076;;500;600;100;;201811
11901008;;2035;2268;233;;201811
11901050;;690;750;60;;201811
11901091;;675;1082;407;;201811
11901023;;695;828;133;;201811
11901062;;386;474;88;;201811
11901075;;637;684;47;;201811
11901099;;289;369;80;;201811
11901079;;352;391;39;;201811
11901026;;2259;2422;163;;201811
11901040;;1463;1638;175;;201811
11901038;;851;1024;173;;201811
11901025;;1343;1518;175;;201811
11901069;;598;724;126;;201811
11901056;;666;707;41;;201811
11901080;;1402;1656;254;;201811
11901098;;168;232;64;;201811
11901016;;1263;1409;146;;201811
11901034;;712;829;117;;201811
11901088;;632;779;147;;201811
11901044;;97;118;21;;201811
11901013;;1961;2071;110;;201811
11901024;;1859;2048;189;;201811
11901053;;652;720;68;;201811
11901072;;253;290;37;;201811
11901039;;1418;1648;230;;201811
11901051;;2045;2145;100;;201811
11901089;;29;44;15;;201811
11901004;;2223;2332;109;;201811
11901081;;665;791;126;;201811
11901007;;448;468;20;;201811
11901082;;625;749;124;;201811
11901061;;941;1157;216;;201811
11901100;;2971;368;787;;201811
11901095;;0;284;284;;201811
11901027;;31;110;79;;201811
11901090;;0;77;77;;201811
11901093;;0;192;192;;201811
11901106;;0;1815;1815;;201811
11901105;;0;104;104;;201811
11901108;;0;34;34;;201811
11901104;;0;48;48;;201811
11901102;;0;25;25;;201811
11901107;;0;10;10;;201811
11814003;;895;1088;193;;201811
11814017;;204;231;27;;201811
11814011;;1069;1119;50;;201811
11814012;;510;565;55;;201811
11124052;;0;1968;1968;;201811
11124041;;733;893;160;;201811
11124042;;30;45;15;;201811
11124059;;490;596;106;;201811
11124048;;203;234;31;;201811
11124039;;395;484;89;;201811
11124001;;9225;11156;1931;;201811
11124035;;641;895;254;;201811
11124032;;387;437;50;;201811
11124049;;558;660;102;;201811
11124058;;67;86;19;;201811
11124038;;59;70;11;;201811
11124045;;1321;1541;220;;201811
11124040;;578;686;108;;201811
11124033;;208;250;42;;201811
11124036;;386;440;54;;201811
11124044;;1760;2037;277;;201811
11124034;;1001;1181;180;;201811
11124051;;0;249;249;;201811
11124057;;722;937;215;;201811
11124054;;0;10;10;;201811
11124099;;0;58;58;;201811
11124064;;0;21;21;;201811
11124067;;0;198;198;;201811
11124068;;0;8;8;;201811
11124063;;0;261;261;;201811
11229023;;58;136;78;;201811
11124078;;0;73;73;;201811
11124069;;0;20;20;;201811
11229021;;175;256;81;;201811
11229025;;171;251;80;;201811
11503081;;1045;1224;179;;201811
11229022;;0;8;8;;201811
11503083;;0;1061;1061;;201811
11503053;;2188;2441;253;;201811
11445001;;0;1323;1323;;201811
11445004;;0;95;95;;201811
11445005;;0;40;40;;201811
11445006;;0;7;7;;201811
11445008;;0;6;6;;201811
11445007;;0;10;10;;201811
11445009;;0;4;15;;201811
11445011;;0;10;72;;201811
11445012;;0;294;306;;201811
11445016;;0;18;18;;201811
11445013;;0;2;148;;201811
11445019;;0;20;20;;201811
11445014;;0;155;172;;201811
11445020;;0;139;166;;201811
11445021;;0;429;445;;201811
11445022;;0;259;270;;201811
11445024;;0;231;231;;201811
11445025;;0;97;99;;201811
11445028;;2;39;37;;201811
11445029;;0;31;40;;201811
11823007;;1418;1624;206;;201811
11824002;;1899;2034;135;;201811
11824001;;2373;2776;403;;201811
11824022;;9566;10477;911;;201811
12455021;;0;13;13;;201811
12455023;;0;8;8;;201811
12455057;;0;27;27;;201811
12455020;;0;13;13;;201811
