ReferenceContrat;numcompteur;Ancienindex;Nouvelindex;consommation;datereleve;periode;nombrejours;categorie
24305066;24305066-int;108;130;22;25/02/2021;202104;60;DOM
24305067;24305067-int;64;77;13;25/02/2021;202104;60;DOM
24305068;24305068-int;142;165;23;25/02/2021;202104;60;DOM
24305069;24305069-int;1838;1959;121;25/02/2021;202104;60;DOM
24305071;24305071-int;223;269;46;25/02/2021;202104;60;DOM
24305072;24305072-int;339;367;28;25/02/2021;202104;60;DOM
24305079;37219573427-4;12;28;16;25/02/2021;202104;60;DOM
24306001;24306001-int;172;181;9;25/02/2021;202104;60;DOM
24306006;150303-0105;4315;4449;134;25/02/2021;202104;60;DOM
24306011;150303-0384;4718;4800;82;25/02/2021;202104;60;DOM
24306014;150303-0283;15975;17059;1084;25/02/2021;202104;60;DOM
24306017;150303-0383;5760;5827;67;25/02/2021;202104;60;DOM
24306019;150303-0258;7371;7437;66;25/02/2021;202104;60;DOM
24306020;150303-0326;4383;4512;129;25/02/2021;202104;60;DOM
24306027;24306027-int;3057;3212;155;25/02/2021;202104;60;DOM
24306029;150303-0327;4560;4717;157;25/02/2021;202104;60;DOM
24306030;150303-0066;1975;2022;47;25/02/2021;202104;60;DOM
24306031;24306031-int;1890;2014;124;25/02/2021;202104;60;DOM
24306034;24306034-int;17030;17242;212;25/02/2021;202104;60;PROD
24306035;24306035-int;3254;3374;120;25/02/2021;202104;60;PROD
24306036;24306036-int;13692;13736;44;25/02/2021;202104;60;PROD
24306041;150303-0329;12832;13127;295;25/02/2021;202104;60;DOM
24306042;150303-0391;1679;1785;106;25/02/2021;202104;60;PROD
24306047;150303-0262;5796;5959;163;25/02/2021;202104;60;PROD
24306048;24306048-int;199146;201562;2416;25/02/2021;202104;60;PROD
24306061;37219564707-0;0;23;23;25/02/2021;202104;60;DOM
24306064;170306-0043;5737;5999;262;25/02/2021;202104;60;DOM
24306070;170809-0140;4357;4524;167;25/02/2021;202104;60;DOM
24306075;170809-0063;4384;4806;422;25/02/2021;202104;60;DOM
24306076;24306076-int;724;969;245;25/02/2021;202104;60;DOM
24306077;24306077-int;194;242;48;25/02/2021;202104;60;DOM
24306078;24306078-int;73;206;133;25/02/2021;202104;60;DOM
24306080;24306080-int;118;130;12;25/02/2021;202104;60;DOM
24306081;24306081-int;105;138;33;25/02/2021;202104;60;DOM
24306082;24306082-int;836;936;100;25/02/2021;202104;60;PROD
24306083;37219575265-6;725;725;0;25/02/2021;202104;60;DOM
24306085;24306085-int;68;81;13;25/02/2021;202104;60;DOM
24306086;37219564962-1;0;170;170;25/02/2021;202104;60;DOM
24306087;37219560440-2;348;412;64;25/02/2021;202104;60;DOM
24306088;37219564814-4;0;43;43;25/02/2021;202104;60;DOM
24306089;37219565951-3;0;17;17;25/02/2021;202104;60;DOM
24306090;37219564780-7;0;43;43;25/02/2021;202104;60;DOM
24307011;170809-0213;1702;1856;154;25/02/2021;202104;60;DOM
24307016;150303-0462;6658;6830;172;25/02/2021;202104;60;DOM
24307018;24307018-int;39;40;1;25/02/2021;202104;60;DOM
24307019;150303-0154;934;955;21;25/02/2021;202104;60;DOM
24307027;170809-0113;2050;2225;175;25/02/2021;202104;60;DOM
24307028;24307028-int;40;49;9;25/02/2021;202104;60;DOM
24307029;24307029-int;70;85;15;25/02/2021;202104;60;DOM
24307030;24307030-int;48;56;8;25/02/2021;202104;60;DOM
