ReferenceContrat;numcompteur;Ancienindex;Nouvelindex;consommation;datereleve;periode;nombrejours;categorie
23401013;37219579630-7;40;55;15;26/10/2020;202010;60;DOM
22303037;82448587;777;878;101;27/10/2020;202010;60;DOM
24341089;37219578517-7;39;50;11;26/10/2020;202010;60;DOM
22308227;37219568058-6;12;14;2;22/10/2020;202010;60;DOM
24343040;170809-0355;2034;2108;74;26/10/2020;202010;60;DOM
22528024;170809-0279;7002;7481;479;27/10/2020;202010;60;DOM
24341032;37219578574-8;21;34;13;26/10/2020;202010;60;DOM
24309011;82369318;92;104;12;26/10/2020;202010;60;DOM
22324151;37219564723-7;65;129;64;27/10/2020;202010;60;DOM
24306044;SOUS COUPURE;0;0;0;27/10/2020;202010;60;DOM
22703015;82449900;336;416;80;23/10/2020;202010;60;DOM
22324155;37219565969-5;0;0;0;27/10/2020;202010;60;DOM
24343062;37219563329-4;2;5;3;26/10/2020;202010;60;DOM
22301092;SOUS COUPURE;0;0;0;27/10/2020;202010;60;DOM
22523078;82450735;7;9;2;28/10/2020;202010;60;DOM
24305025;150303-0100;4784;4819;35;23/10/2020;202010;60;DOM
22531008;82368776;1199;1252;53;27/10/2020;202010;60;DOM
22324147;37219566009-9;99;114;15;27/10/2020;202010;60;DOM
22501049;150303-0475;7934;8445;511;28/10/2020;202010;60;DOM
24340031;82368436;1436;1521;85;22/10/2020;202010;60;DOM
24340019;82368626;223;233;10;22/10/2020;202010;60;DOM
24341066;37219578582-1;258;376;118;26/10/2020;202010;60;DOM
24309022;82369644;104;150;46;26/10/2020;202010;60;DOM
24309042;82448976;19;32;13;26/10/2020;202010;60;DOM
24341060;37219578590-4;12;14;2;26/10/2020;202010;60;DOM
24344015;633864;0;0;0;23/10/2020;202010;60;DOM
24344053;634029;4;11;7;23/10/2020;202010;60;DOM
24344055;634284;2;4;2;23/10/2020;202010;60;DOM
24344038;634367;3;5;2;23/10/2020;202010;60;DOM
24344035;634938;3;6;3;23/10/2020;202010;60;DOM
24344059;635273;7;30;23;23/10/2020;202010;60;DOM
24344003;636008;7;38;31;23/10/2020;202010;60;DOM
24344004;636594;5;26;21;23/10/2020;202010;60;DOM
24344029;637337;2;5;3;23/10/2020;202010;60;DOM
24344061;651189;18;54;36;23/10/2020;202010;60;DOM
24344001;651262;3;7;4;23/10/2020;202010;60;DOM
24344033;652096;2;16;14;23/10/2020;202010;60;DOM
24344031;652179;17;63;46;23/10/2020;202010;60;DOM
24344025;652252;1;3;2;23/10/2020;202010;60;DOM
24344024;652823;1;3;2;23/10/2020;202010;60;DOM
24344002;652906;4;9;5;23/10/2020;202010;60;DOM
24344074;653326;1;2;1;23/10/2020;202010;60;DOM
24344027;656139;5;16;11;23/10/2020;202010;60;DOM
24344021;657129;10;25;15;23/10/2020;202010;60;DOM
24344022;656477;55;62;7;23/10/2020;202010;60;DOM
24344071;658945;9;22;13;23/10/2020;202010;60;DOM
24344006;668274;2;9;7;23/10/2020;202010;60;DOM
24344009;668357;12;31;19;23/10/2020;202010;60;DOM
24344005;669009;1;5;4;23/10/2020;202010;60;DOM
24344073;669348;22;72;50;23/10/2020;202010;60;DOM
24344075;669421;6;18;12;23/10/2020;202010;60;DOM
24344007;669751;2;20;18;23/10/2020;202010;60;DOM
24344072;676681;7;39;32;23/10/2020;202010;60;DOM
24344066;733022;0;0;0;23/10/2020;202010;60;DOM
24344056;733102;9;18;9;23/10/2020;202010;60;DOM
24344065;735594;68;192;124;23/10/2020;202010;60;DOM
24344058;735677;5;12;7;23/10/2020;202010;60;DOM
24344060;735750;17;54;37;23/10/2020;202010;60;DOM
24344018;735834;22;66;44;23/10/2020;202010;60;DOM
24344051;736253;9;27;18;23/10/2020;202010;60;DOM
24344054;736584;9;19;10;23/10/2020;202010;60;DOM
24344042;737814;20;33;13;23/10/2020;202010;60;DOM
24344008;737996;41;163;122;23/10/2020;202010;60;DOM
24344034;738499;1;4;3;23/10/2020;202010;60;DOM
24344019;739976;1;3;2;23/10/2020;202010;60;DOM
24344032;740115;4;12;8;23/10/2020;202010;60;DOM
24344040;740529;2;3;1;23/10/2020;202010;60;DOM
24344063;740867;0;107;107;23/10/2020;202010;60;DOM
24344041;742012;4;9;5;23/10/2020;202010;60;DOM
24344046;742194;54;131;77;23/10/2020;202010;60;DOM
24344049;742681;10;63;53;23/10/2020;202010;60;DOM
24344050;743180;4;7;3;23/10/2020;202010;60;DOM
24344047;747300;11;14;3;23/10/2020;202010;60;DOM
24344045;747979;15;44;29;23/10/2020;202010;60;DOM
24344016;748050;2;11;9;23/10/2020;202010;60;DOM
24344036;748472;20;52;32;23/10/2020;202010;60;DOM
24344039;748548;4;8;4;23/10/2020;202010;60;DOM
24344064;748621;4;10;6;23/10/2020;202010;60;DOM
24344020;748704;0;0;0;23/10/2020;202010;60;DOM
24344026;748886;1;2;1;23/10/2020;202010;60;DOM
24344069;748969;3;172;169;23/10/2020;202010;60;DOM
24344057;749041;9;17;8;23/10/2020;202010;60;DOM
24344062;753233;5;13;8;23/10/2020;202010;60;DOM
24344010;37219564384-8;3;11;8;23/10/2020;202010;60;DOM
24344028;37219564640-3;31;79;48;23/10/2020;202010;60;DOM
24344044;37219564657-7;17;38;21;23/10/2020;202010;60;DOM
24344023;37219565977-8;21;43;22;23/10/2020;202010;60;DOM
24344011;37219565993-5;12;17;5;23/10/2020;202010;60;DOM
24344052;37219566025-5;91;246;155;23/10/2020;202010;60;DOM
24344037;37219566074-3;127;316;189;23/10/2020;202010;60;DOM
24344068;37219566082-6;3;8;5;23/10/2020;202010;60;DOM
24344012;37219566090-9;107;372;265;23/10/2020;202010;60;DOM
24344013;37219566108-9;13;28;15;23/10/2020;202010;60;DOM
24344017;37219566124-6;394;1208;814;23/10/2020;202010;60;DOM
24344043;37219566165-9;103;388;285;23/10/2020;202010;60;DOM
23401026;37219579671-1;49;62;13;26/10/2020;202010;60;DOM
24343059;37219567320-9  ;14;25;11;26/10/2020;202010;60;DOM
24343030;37219579663-8;3;5;2;26/10/2020;202010;60;DOM
24343012;82449949;119;129;10;26/10/2020;202010;60;DOM
23509004;37219573591-7;33;33;0;26/10/2020;202010;60;DOM
23509064;37219573716-7;182;184;2;26/10/2020;202010;60;DOM
23509009;37219573815-0;17;28;11;26/10/2020;202010;60;DOM
24341069;37219578665-4;93;142;49;26/10/2020;202010;60;DOM
22523087;82450798;146;215;69;28/10/2020;202010;60;DOM
22523086;82450833;855;1089;234;28/10/2020;202010;60;DOM
22523118;37219563246-0;419;462;43;28/10/2020;202010;60;DOM
22523108;37219573450-6;37;127;90;28/10/2020;202010;60;DOM
22523115;37219579564-8;290;450;160;28/10/2020;202010;60;DOM
22523100;82448822;21;22;1;28/10/2020;202010;60;DOM
22523033;82449457;535;735;200;28/10/2020;202010;60;DOM
23509035;82368370;606;633;27;26/10/2020;202010;60;DOM
24308035;1780809-0381;1403;1493;90;23/10/2020;202010;60;DOM
24305030;170306-0044;5069;5095;26;23/10/2020;202010;60;DOM
24305029;170306-0045;3725;3725;0;23/10/2020;202010;60;DOM
22702016;SOUS COUPURE;0;0;0;27/10/2020;202010;60;DOM
22528003;37219560127-5;18;38;20;27/10/2020;202010;60;DOM
22501055;150303-0476;5383;5586;203;28/10/2020;202010;60;DOM
22501102;170809-0290;1468;1500;32;28/10/2020;202010;60;DOM
24306076;82449839;402;532;130;27/10/2020;202010;60;DOM
24306077;82449957;125;154;29;27/10/2020;202010;60;DOM
24306078;82450213;49;60;11;27/10/2020;202010;60;DOM
24306080;82449999;81;96;15;27/10/2020;202010;60;DOM
24306081;82449462;68;85;17;27/10/2020;202010;60;DOM
22308162;82449524;164;195;31;27/10/2020;202010;60;DOM
