ReferenceContrat;numcompteur;Ancienindex;Nouvelindex;consommation;datereleve;periode;nombrejours;categorie
11810031;141826363;898;930;32;28/10/2020;202010;60;DOM
11816004;82449170;740;929;189;28/10/2020;202010;60;DOM
11810125;82449217;62;105;43;28/10/2020;202010;60;DOM
11810092;82449404;13;19;6;28/10/2020;202010;60;DOM
11810047;1;400;592;192;28/10/2020;202010;60;DOM
11810052;1;2703;3200;497;28/10/2020;202010;60;DOM
11810152;37219570738;0;10;10;28/10/2020;202010;60;DOM
11810006;170505572;4271;4564;293;28/10/2020;202010;60;DOM
11810086;82449167;268;358;90;28/10/2020;202010;60;DOM
11810100;82449252;12;15;3;28/10/2020;202010;60;DOM
11810059;37219567999;6;10;4;28/10/2020;202010;60;DOM
11810103;82368391;1460;1470;10;28/10/2020;202010;60;DOM
11810063;41235813;78593;88316;9723;28/10/2020;202010;30;PRO
11810075;141826389;209;253;44;28/10/2020;202010;60;DOM
11810014;14225394718;12484;13725;1241;28/10/2020;202010;30;PRO
11810020;1604214487;290;344;54;28/10/2020;202010;60;DOM
11810026;5299;1754;1871;117;28/10/2020;202010;60;DOM
11810008;141826362;1626;1627;1;28/10/2020;202010;60;DOM
11810002;14225394122;4603;5163;560;28/10/2020;202010;30;PRO
11810071;411219089;5474;5963;489;28/10/2020;202010;30;PRO
11810072;41235894;184;184;0;28/10/2020;202010;30;PRO
11810033;82369356;766;808;42;28/10/2020;202010;60;DOM
11810113;82449293;12;12;0;28/10/2020;202010;60;DOM
11810019;82449257;686;696;10;28/10/2020;202010;60;DOM
11810144;37219570563;2;7;5;28/10/2020;202010;60;DOM
11810046;37219573476;0;61;61;28/10/2020;202010;60;DOM
11810017;1604214675;523;575;52;28/10/2020;202010;60;DOM
11810043;6484;2008;2241;233;28/10/2020;202010;60;DOM
11810080;82369943;3328;3328;0;28/10/2020;202010;30;PRO
11810005;1604215727;9713;9984;271;28/10/2020;202010;60;DOM
11810007;82449551;1424;2432;1008;28/10/2020;202010;60;DOM
11810055;14225394767;4773;4920;147;28/10/2020;202010;30;PRO
11810056;14225394809;2582;2588;6;28/10/2020;202010;30;PRO
11810009;1604214477;1400;1610;210;28/10/2020;202010;60;DOM
11810126;41289992;1023;1404;381;28/10/2020;202010;30;PRO
11810032;1,42505E+11;842;987;145;28/10/2020;202010;60;DOM
11810048;170505567;1397;1511;114;28/10/2020;202010;60;DOM
11810130;82449419;22;25;3;28/10/2020;202010;60;DOM
11810037;82449315;58;65;7;28/10/2020;202010;60;DOM
11810038;82369057;1867;2029;162;28/10/2020;202010;60;DOM
11810068;82369421;1275;1368;93;28/10/2020;202010;60;DOM
11810122;82448753;44;70;26;28/10/2020;202010;60;DOM
11810097;82366985;797;1118;321;28/10/2020;202010;60;DOM
11810051;1703060025;1942;2060;118;28/10/2020;202010;60;DOM
11810050;82450656;1630;1726;96;28/10/2020;202010;60;DOM
11810001;1604214811;1144;1144;0;28/10/2020;202010;60;DOM
11810003;1604213790;2507;2533;26;28/10/2020;202010;60;DOM
11810013;1604214788;3125;3322;197;28/10/2020;202010;30;PRO
11810108;82368424;973;1102;129;28/10/2020;202010;60;DOM
11810066;ges;594;709;115;28/10/2020;202010;60;DOM
11810096;82368029;130;151;21;28/10/2020;202010;60;DOM
11810079;14250516516;143;149;6;28/10/2020;202010;60;DOM
11810131;82450362;46;61;15;28/10/2020;202010;60;DOM
11810102;82449809;39;59;20;28/10/2020;202010;60;DOM
11810054;170505283;283;287;4;28/10/2020;202010;60;DOM
11810011;1703060022;2794;3145;351;28/10/2020;202010;60;DOM
11810012;1703060023;692;700;8;28/10/2020;202010;60;DOM
11810069;82369704;150;198;48;28/10/2020;202010;60;DOM
11810057;82449301;635;738;103;28/10/2020;202010;60;DOM
11810036;82369410;1275;1392;117;28/10/2020;202010;60;DOM
11810058;ges;2414;2604;190;28/10/2020;202010;60;DOM
11810084;14250516508;206;233;27;28/10/2020;202010;60;DOM
11810061;141826395;95;103;8;28/10/2020;202010;60;DOM
11810085;82369691;198;222;24;28/10/2020;202010;60;DOM
11810119;82448849;20;26;6;28/10/2020;202010;60;DOM
11810040;170506970;1387;1444;57;28/10/2020;202010;60;DOM
11811003;82369343;118;134;16;28/10/2020;202010;60;DOM
11811007;82450292;736;898;162;28/10/2020;202010;60;DOM
11811005;82368889;175;187;12;28/10/2020;202010;60;DOM
11811006;82368871;30;34;4;28/10/2020;202010;60;DOM
11811004;82368751;232;280;48;28/10/2020;202010;60;DOM
11811001;37219572783;0;43;43;28/10/2020;202010;60;DOM
11811002;82369209;314;348;34;28/10/2020;202010;60;DOM
11416005;141826425;1708;1926;218;28/10/2020;202010;60;DOM
11416019;82448728;73;87;14;28/10/2020;202010;60;DOM
11416007;82369191;100;108;8;28/10/2020;202010;60;DOM
11416013;82365857;826;841;15;28/10/2020;202010;60;DOM
11416008;37219560291;16;18;2;28/10/2020;202010;60;DOM
11416001;141826424;1809;1842;33;28/10/2020;202010;60;DOM
11416006;82369748;744;780;36;28/10/2020;202010;60;DOM
11416012;82368059;992;1011;19;28/10/2020;202010;60;DOM
11416011;82448589;650;735;85;28/10/2020;202010;60;DOM
11416014;37219560085;13;23;10;28/10/2020;202010;60;DOM
11422108;82369192;1702;1794;92;28/10/2020;202010;60;DOM
11416018;41236471;1810;2104;294;28/10/2020;202010;30;PRO
11416009;37219560093;14;16;2;28/10/2020;202010;60;DOM
11416002;82368799;234;259;25;28/10/2020;202010;60;DOM
11416015;82369818;39;41;2;28/10/2020;202010;60;DOM
11416017;82368743;111;128;17;28/10/2020;202010;60;DOM
11416004;82369296;1458;1524;66;28/10/2020;202010;60;DOM
11416003;82449178;44;70;26;28/10/2020;202010;60;DOM
11416016;82369856;21;26;5;28/10/2020;202010;60;DOM
11416010;82449005;53;59;6;28/10/2020;202010;60;DOM
11812025;82449056;3297;3885;588;28/10/2020;202010;60;DOM
11812026;37219559699;1213;1354;141;28/10/2020;202010;30;PRO
11812015;1708090094;3154;3636;482;28/10/2020;202010;60;DOM
11454010;82450627;488;616;128;28/10/2020;202010;60;DOM
11454003;82368954;769;792;23;28/10/2020;202010;60;DOM
11454001;82449264;131;150;19;28/10/2020;202010;60;DOM
11454005;82449259;59;68;9;28/10/2020;202010;60;DOM
11454007;82449333;1;2;1;28/10/2020;202010;60;DOM
11454006;82368832;27;28;1;28/10/2020;202010;60;DOM
11454008;82448810;51;51;0;28/10/2020;202010;60;DOM
11454002;82369018;1401;1539;138;28/10/2020;202010;60;DOM
11454009;82449145;26;334;308;28/10/2020;202010;60;DOM
11454004;82368508;7;8;1;28/10/2020;202010;60;DOM
11454011;37219560572;2;2;0;28/10/2020;202010;60;DOM
11001012;170809-0383;5130;5483;353;28/10/2020;202010;60;DOM
11001020;82450485;59;65;6;28/10/2020;202010;60;DOM
11001023;37219570191;0;2;2;28/10/2020;202010;60;DOM
11308068;82369019;410;421;11;28/10/2020;202010;30;PRO
11308023;82368855;35;35;0;28/10/2020;202010;60;DOM
11308067;82368864;456;637;181;28/10/2020;202010;30;PRO
11308020;82369068;3332;3332;0;28/10/2020;202010;60;DOM
11308044;82368884;2156;2241;85;28/10/2020;202010;60;DOM
11308074;82449518;439;577;138;28/10/2020;202010;60;DOM
11308064;82369044;1565;1859;294;28/10/2020;202010;60;DOM
11308070;82369064;3854;3924;70;28/10/2020;202010;60;DOM
11308057;82449558;97;116;19;28/10/2020;202010;60;DOM
11308018;82368678;586;619;33;28/10/2020;202010;60;DOM
11308008;82368898;800;1117;317;28/10/2020;202010;60;DOM
11308032;82368569;1056;1071;15;28/10/2020;202010;60;DOM
11308035;82368995;2157;2172;15;28/10/2020;202010;60;DOM
11308043;82368974;1147;1414;267;28/10/2020;202010;60;DOM
11308037;82449212;1066;1231;165;28/10/2020;202010;60;DOM
11308015;37219571884;2;6;4;28/10/2020;202010;60;DOM
11308026;82368352;740;913;173;28/10/2020;202010;60;DOM
11308049;82369030;685;882;197;28/10/2020;202010;60;DOM
11308036;82369522;61;71;10;28/10/2020;202010;60;DOM
11308012;82368982;1382;1518;136;28/10/2020;202010;60;DOM
11308027;82449493;500;593;93;28/10/2020;202010;60;DOM
11308001;82368647;283;299;16;28/10/2020;202010;60;DOM
11308048;37219568229;1;5;4;28/10/2020;202010;60;DOM
11308019;82368524;1986;2175;189;28/10/2020;202010;60;DOM
11308050;82449280;79;94;15;28/10/2020;202010;60;DOM
11308052;82368526;42;47;5;28/10/2020;202010;60;DOM
11308031;82369583;127;139;12;28/10/2020;202010;60;DOM
11308003;14250516565;2331;2331;0;28/10/2020;202010;60;DOM
11308046;82368561;1762;1909;147;28/10/2020;202010;60;DOM
11308054;37219571744;14;33;19;28/10/2020;202010;60;DOM
11308065;37219571595;7;18;11;28/10/2020;202010;60;DOM
11308024;82368517;1654;1867;213;28/10/2020;202010;60;DOM
11308087;37219574094;62;168;106;28/10/2020;202010;60;DOM
11308004;141826444;428;452;24;28/10/2020;202010;60;DOM
11308086;37219572312;3;15;12;28/10/2020;202010;60;DOM
11308051;82368417;100;106;6;28/10/2020;202010;60;DOM
11308013;141826446;2270;2509;239;28/10/2020;202010;60;DOM
11308006;141826445;1945;1980;35;28/10/2020;202010;60;DOM
11308007;14250515245;1352;1743;391;28/10/2020;202010;60;DOM
11308029;82368686;2559;2803;244;28/10/2020;202010;60;DOM
11308045;82368331;155;161;6;28/10/2020;202010;60;DOM
11308080;41290390;4309;5564;1255;28/10/2020;202010;30;PRO
11308002;141826443;4059;4639;580;28/10/2020;202010;60;DOM
11308066;82368547;1676;1773;97;28/10/2020;202010;60;DOM
11308042;3721957113;5;13;8;28/10/2020;202010;60;DOM
11308041;82368927;2045;2084;39;28/10/2020;202010;60;DOM
11308010;82368702;4017;4612;595;28/10/2020;202010;60;DOM
11308017;82368969;2787;3026;239;28/10/2020;202010;60;DOM
11308030;82368516;24;29;5;28/10/2020;202010;60;DOM
11308079;82449300;69;80;11;28/10/2020;202010;60;DOM
