ReferenceContrat;numcompteur;Ancienindex;Nouvelindex;consommation;datereleve;periode;nombrejours;categorie
23816141;37219569438;0;0;0;25/01/2021;202101;60;DOM 
22101042;7099265;274;274;0;25/01/2021;202101;60;DOM 
23816127;7098747;2722;2722;0;25/01/2021;202101;60;DOM 
23816142;7098430;1085;1085;0;25/01/2021;202101;60;DOM 
22103024;7099281;1438;1438;0;25/01/2021;202101;60;DOM 
22201066;7098656;950;789;0;25/01/2021;202101;60;DOM 
22602044;7098635;355;355;0;25/01/2021;202101;60;DOM 
23222025;82449600;741;449;0;25/01/2021;202101;60;DOM 
23224009;7099002;1302;1302;0;25/01/2021;202101;60;DOM 
23810016;37219560580;0;0;0;25/01/2021;202101;60;DOM 
23814027;82449910;646;646;0;25/01/2021;202101;60;DOM 
23817011;82448652;20;20;0;25/01/2021;202101;60;DOM 
23821040;37219572197;0;0;0;25/01/2021;202101;60;DOM 
23826029;12202015-int;44;0;0;25/01/2021;202101;60;DOM 
23845004;41237512;457;457;0;25/01/2021;202101;60;PROD
23858015;244;1477;1389;0;25/01/2021;202101;60;DOM 
23867022;170506319;283;283;0;25/01/2021;202101;60;DOM 
41104001;41236080;1631;1631;0;25/01/2021;202101;60;PROD
41104010;37219570720;686;686;0;25/01/2021;202101;60;DOM 
41104017;37219571819;2;2;0;25/01/2021;202101;60;DOM 
124139018;82449683;1;1;0;25/01/2021;202101;60;DOM 
23816141;170809-0118;5181;5181;0;25/01/2021;202101;60;DOM 
22101042;12815051-int;160;160;0;25/01/2021;202101;60;PROD
23816127;82450481;34;34;0;25/01/2021;202101;60;PROD
23816142;82449227;1;1;0;25/01/2021;202101;60;PROD
22103024;82448732;1;1;0;25/01/2021;202101;60;PROD
22201066;82448972;1;1;0;25/01/2021;202101;60;PROD
22602044;82449057;1;1;0;25/01/2021;202101;60;PROD
23222025;82449136;1;1;0;25/01/2021;202101;60;PROD
23224009;82448953;1;1;0;25/01/2021;202101;60;DOM 
23810016;82449039;10;10;0;25/01/2021;202101;60;DOM 
23814027;37219574060-2;7;7;0;25/01/2021;202101;60;DOM 
23817011;37219573245-0;0;0;0;25/01/2021;202101;60;DOM 
23821040;37219562735-3;1;1;0;25/01/2021;202101;60;DOM 
23826029;82369352;734;536;0;25/01/2021;202101;60;DOM 
23845004;372195 65506-5;0;0;0;25/01/2021;202101;60;DOM 
23858015;372195 76735-7;0;0;0;25/01/2021;202101;60;DOM 
23867022;37219576867-8;0;0;0;25/01/2021;202101;60;DOM 
41104001;3721957441-4;20;8;0;25/01/2021;202101;60;DOM 
41104010;82450366;512;512;0;25/01/2021;202101;60;DOM 
41104017;3451;3402;3396;0;25/01/2021;202101;60;PROD
124139018;82368067;55;54;0;25/01/2021;202101;60;DOM 
